Candidate,Gender,Race,State,DistrictNo,District,Party,ICO,PrimaryResults,PrimaryStatus,RunoffResults,RunoffStatus,GeneralResults,RankedChoiceResults,GeneralStatus,PVI,Clinton2016,Trump2016,WFD,MoneyRaised,MoneySpent,ElectedOffice
Jess King ,Female,White,PA,11,PA-11,Democrat,Challenger,100,1,,,41.02,,0,-14,34.7,60.5,,1938605,1821584,No
Chet Beiler,Male,White,PA,11,PA-11,Republican,Challenger,41.4,0,,,,,,-14,34.7,60.5,,397867,396918,No
Lloyd K. Smucker,Male,White,PA,11,PA-11,Republican,Incumbent,58.6,1,,,58.98,,1,-14,34.7,60.5,,1543512,1537470,Yes
Judy Herschel,Female,White,PA,12,PA-12,Democrat,Challenger,49.6,0,,,,,,-17,29.7,66.1,,146680,146485,No
Marc Friedenberg,Male,White,PA,12,PA-12,Democrat,Challenger,50.4,1,,,33.96,,0,-17,29.7,66.1,,155963,88205,No
Doug McLinko,Male,White,PA,12,PA-12,Republican,Challenger,32.9,0,,,,,,-17,29.7,66.1,,107985,99026,Yes
Tom Marino,Male,White,PA,12,PA-12,Republican,Incumbent,67.1,1,,,66.04,,1,-17,29.7,66.1,,784450,875977,Yes
Brent Ottaway ,Male,White,PA,13,PA-13,Democrat,Open,100,1,,,29.51,,0,-22,25.5,71.2,,34894,30479,No
Art Halvorson,Male,White,PA,13,PA-13,Republican,Open,15.2,0,,,,,,-22,25.5,71.2,,125432,118752,Yes
Ben Hornberger,Male,White,PA,13,PA-13,Republican,Open,1.8,0,,,,,,-22,25.5,71.2,,2500,2500,No
Bernie Washabaugh,Male,White,PA,13,PA-13,Republican,Open,2.9,0,,,,,,-22,25.5,71.2,,,,No
Doug Mastriano,Male,White,PA,13,PA-13,Republican,Open,15.7,0,,,,,,-22,25.5,71.2,,57243,57243,No
John Eichelberger,Male,White,PA,13,PA-13,Republican,Open,19.6,0,,,,,,-22,25.5,71.2,,184586,183436,Yes
John Joyce,Male,White,PA,13,PA-13,Republican,Open,21.9,1,,,70.49,,1,-22,25.5,71.2,,1501603,1446357,No
Steve Bloom,Male,White,PA,13,PA-13,Republican,Open,18.3,0,,,,,,-22,25.5,71.2,,331754,331754,Yes
Travis Schooley,Male,White,PA,13,PA-13,Republican,Open,4.5,0,,,,,,-22,25.5,71.2,,23704,23320,No
Adam Sedlock,Male,White,PA,14,PA-14,Democrat,Open,24.1,0,,,,,,-14,33.9,62.9,,2500,2500,No
Bibiana Boerio,Female,White,PA,14,PA-14,Democrat,Open,43,1,,,42.09,,0,-14,33.9,62.9,,687232,658655,No
Robert Solomon,Male,White,PA,14,PA-14,Democrat,Open,19,0,,,,,,-14,33.9,62.9,,,,No
Tom Prigg,Male,White,PA,14,PA-14,Democrat,Open,13.9,0,,,,,,-14,33.9,62.9,,48483,46983,No
Guy Reschenthaler,Male,White,PA,14,PA-14,Republican,Open,55.4,1,,,57.91,,1,-14,33.9,62.9,,1047299,976021,Yes
Rick Saccone,Male,White,PA,14,PA-14,Republican,Open,44.6,0,,,,,,-14,33.9,62.9,,,,Yes
Susan Boser,Female,White,PA,15,PA-15,Democrat,Challenger,74.5,1,,,32.16,,0,-20,26.5,69.8,,143667,145848,No
Wade Jodun,Male,White,PA,15,PA-15,Democrat,Challenger,25.5,0,,,,,,-20,26.5,69.8,,2500,2500,No
Glenn Thompson,Male,White,PA,15,PA-15,Republican,Incumbent,100,1,,,67.84,,1,-20,26.5,69.8,,1367698,1402503,Yes
Chris Rieger,Male,White,PA,16,PA-16,Democrat,Challenger,24.9,0,,,,,,-8,37.9,57.9,,28536,28282,No
Robert Multari,Male,White,PA,16,PA-16,Democrat,Challenger,14.9,0,,,,,,-8,37.9,57.9,,43908,43908,No
Ron DiNicola,Male,White,PA,16,PA-16,Democrat,Challenger,60.2,1,,,47.3,,0,-8,37.9,57.9,,1687634,1683628,No
Mike Kelly,Male,White,PA,16,PA-16,Republican,Incumbent,100,1,,,51.58,,1,-8,37.9,57.9,,2560318,3216866,Yes
Conor Lamb,Male,White,PA,17,PA-17,Democrat,Incumbent,100,1,,,56.26,,1,-3,46.8,49.4,,8970083,8632567,Yes
Keith Rothfus,Male,White,PA,17,PA-17,Republican,Incumbent,100,1,,,43.74,,0,-3,46.8,49.4,,3160290,3707358,Yes
Janis Brooks,Female,Non-white,PA,18,PA-18,Democrat,Challenger,24.1,0,,,,,,13,62.1,34.6,,2500,2500,No
Mike Doyle,Male,White,PA,18,PA-18,Democrat,Incumbent,75.9,1,,,100,,1,13,62.1,34.6,,888214,819348,Yes
Christopher Young ,Male,White,RI,1,RI-1,Democrat,Challenger,22,0,,,,,,14,60.5,34.9,0.253919488,2500,2500,No
David N. Cicilline,Male,White,RI,1,RI-1,Democrat,Incumbent,78,1,,,66.7,,1,14,60.5,34.9,0.253919488,1567591,1518481,Yes
Frederick Wysocki,Male,White,RI,1,RI-1,Republican,Challenger,21.7,0,,,,,,14,60.5,34.9,0.253919488,2500,2500,No
Patrick J. Donovan ,Male,White,RI,1,RI-1,Republican,Challenger,78.3,1,,,33.1,,0,14,60.5,34.9,0.253919488,2500,2500,No
James R. Langevin,Male,White,RI,2,RI-2,Democrat,Incumbent,100,1,,,63.5,,1,6,51.1,44,0.197459297,1133332,715839,Yes
Salvatore G. Caiozzo,Male,White,RI,2,RI-2,Republican,Challenger,100,1,,,36.3,,0,6,51.1,44,0.197459297,2500,2500,No
Toby Smith,Female,Non-white,SC,1,SC-1,Democrat,Challenger,28.5,0,,,,,,-10,40.4,53.5,0.118165864,15550,12542,No
Joe Cunningham,Male,White,SC,1,SC-1,Democrat,Challenger,71.5,1,,,50.6,,1,-10,40.4,53.5,0.118165864,2352597,2341482,No
Dimitri Cherny,Male,White,SC,1,SC-1,Republican,Challenger,2.95,0,,,,,,-10,40.4,53.5,0.118165864,1194,7000,No
Katie Arrington,Female,White,SC,1,SC-1,Republican,Challenger,50.55,1,,,49.22,,0,-10,40.4,53.5,0.118165864,1564013,1563050,Yes
Mark Sanford,Male,White,SC,1,SC-1,Republican,Incumbent,46.5,0,,,,,,-10,40.4,53.5,0.118165864,756180,508427,Yes
Annabelle Robertson,Female,White,SC,2,SC-2,Democrat,Challenger,41.81,Runoff,46.66,0,,,,-13,38.6,56.3,0.094026592,51106,51422,No
Phil Black,Male,White,SC,2,SC-2,Democrat,Challenger,18.37,0,,,,,,-13,38.6,56.3,0.094026592,2500,2500,No
Sean Carrigan,Male,White,SC,2,SC-2,Democrat,Challenger,39.82,Runoff,53.34,1,42.47,,0,-13,38.6,56.3,0.094026592,151953,151208,No
Joe Wilson,Male,White,SC,2,SC-2,Republican,Incumbent,100,1,,,56.25,,1,-13,38.6,56.3,0.094026592,1243497,1648976,Yes
Hosea Cleveland,Male,Non-white,SC,3,SC-3,Democrat,Challenger,30.27,0,,,,,,-19,29,67,0.055881528,17754,15086,No
Mary Geren,Female,White,SC,3,SC-3,Democrat,Challenger,69.73,1,,,30.97,,0,-19,29,67,0.055881528,300528,300436,No
Jeff Duncan,Male,White,SC,3,SC-3,Republican,Incumbent,100,1,,,67.69,,1,-19,29,67,0.055881528,887602,694693,Yes
Brandon Brown,Male,Non-white,SC,4,SC-4,Democrat,Open,28.47,Runoff,62.05,1,36.56,,0,-15,34.5,60.2,0.092158109,67202,70966,No
Doris Lee Turner,Female,White,SC,4,SC-4,Democrat,Challenger,29.46,Runoff,37.95,0,,,,-15,34.5,60.2,0.092158109,30932,31426,No
Eric Garben,Male,White,SC,4,SC-4,Democrat,Open,25.72,0,,,,,,-15,34.5,60.2,0.092158109,105479,105479,No
JT Davis,Male,White,SC,4,SC-4,Democrat,Open,7.22,0,,,,,,-15,34.5,60.2,0.092158109,7938,7938,No
Will Morin,Male,White,SC,4,SC-4,Democrat,Open,9.13,0,,,,,,-15,34.5,60.2,0.092158109,40207,46133,No
Lee Bright,Male,Non-white,SC,4,SC-4,Republican,Open,2.48,0,,,,,,-15,34.5,60.2,0.092158109,122905,122905,Yes
Barry Bell,Male,White,SC,4,SC-4,Republican,Open,0.3,0,,,,,,-15,34.5,60.2,0.092158109,5620,4274,No
Claude Schmid,Male,White,SC,4,SC-4,Republican,Open,2.11,0,,,,,,-15,34.5,60.2,0.092158109,43084,45452,No
Dan Albert,Male,White,SC,4,SC-4,Republican,Open,0.76,0,,,,,,-15,34.5,60.2,0.092158109,2500,2500,No
Dan Hamilton,Male,White,SC,4,SC-4,Republican,Open,18.62,0,,,,,,-15,34.5,60.2,0.092158109,278280,256846,Yes
James Epley,Male,White,SC,4,SC-4,Republican,Open,8.03,0,,,,,,-15,34.5,60.2,0.092158109,101965,91366,No
Josh Kimbrell,Male,White,SC,4,SC-4,Republican,Open,11.13,0,,,,,,-15,34.5,60.2,0.092158109,313066,308040,No
Justin Sanders,Male,White,SC,4,SC-4,Republican,Open,0.53,0,,,,,,-15,34.5,60.2,0.092158109,2500,2500,No
Lee Bright,Male,White,SC,4,SC-4,Republican,Open,24.95,Runoff,45.71,0,,,,-15,34.5,60.2,0.092158109,336037,333465,Yes
William Timmons,Male,White,SC,4,SC-4,Republican,Open,19.21,Runoff,54.29,1,59.57,,1,-15,34.5,60.2,0.092158109,1328132,1313160,Yes
Shannon Pierce,Female,White,SC,4,SC-4,Republican,Open,3.64,0,,,,,,-15,34.5,60.2,0.092158109,91955,91955,No
Stephen Brown,Male,White,SC,4,SC-4,Republican,Open,7.57,0,,,,,,-15,34.5,60.2,0.092158109,173980,176251,No
Jon Mosser,Male,,SC,4,SC-4,Republican,Open,0.68,0,,,,,,-15,34.5,60.2,0.092158109,21341,21341,No
Sidney Moore,Male,Non-white,SC,5,SC-5,Democrat,Challenger,17.17,0,,,,,,-9,38.8,57.3,0.067217496,2500,2500,No
Mark Ali,Male,Non-white,SC,5,SC-5,Democrat,Challenger,13.41,0,,,,,,-9,38.8,57.3,0.067217496,2500,2500,No
Archie Parnell,Male,White,SC,5,SC-5,Democrat,Challenger,59.69,1,,,41.49,,0,-9,38.8,57.3,0.067217496,2004602,1991183,No
Steve Lough,Male,White,SC,5,SC-5,Democrat,Challenger,9.46,0,,,,,,-9,38.8,57.3,0.067217496,12343,7508,No
Ralph Norman,Male,White,SC,5,SC-5,Republican,Incumbent,100,1,,,57.03,,1,-9,38.8,57.3,0.067217496,2592124,1994401,Yes
James E. Clyburn,Male,Non-white,SC,6,SC-6,Democrat,Incumbent,100,1,,,70.13,,1,20,66.8,30.3,0.12151705,1982811,1925952,Yes
Gerhard Gressmann,Male,White,SC,6,SC-6,Republican,Challenger,100,1,,,28.23,,0,20,66.8,30.3,0.12151705,8829,1285,No
Robert Williams,Male,Non-white,SC,7,SC-7,Democrat,Challenger,41.3,Runoff,51.4,1,40.31,,0,-9,39.1,58,0.082415645,26214,26188,Yes
Bill Hopkins,Male,White,SC,7,SC-7,Democrat,Challenger,17.78,0,,,,,,-9,39.1,58,0.082415645,109930,108451,No
Bruce Fischer,Male,White,SC,7,SC-7,Democrat,Challenger,11.22,0,,,,,,-9,39.1,58,0.082415645,43903,24973,No
Mal Hyman,Male,White,SC,7,SC-7,Democrat,Challenger,29.7,Runoff,48.6,0,,,,-9,39.1,58,0.082415645,53061,53061,No
Larry Hammond,Male,White,SC,7,SC-7,Republican,Challenger,16.42,0,,,,,,-9,39.1,58,0.082415645,1874,7207,No
Tom Rice,Male,White,SC,7,SC-7,Republican,Incumbent,83.58,1,,,59.56,,1,-9,39.1,58,0.082415645,1560587,1120130,Yes
Tim Bjorkman,Male,White,SD,1,SD-AL,Democrat,Open,100,1,,,36,,0,-14,31.7,61.5,,817577,808715,Yes
Neal Tapio,Male,White,SD,1,SD-AL,Republican,Open,23.9,0,,,,,,-14,31.7,61.5,,162110,162110,Yes
Dusty Johnson,Male,White,SD,1,SD-AL,Republican,Open,46.8,1,,,60,,1,-14,31.7,61.5,,1662791,1572378,Yes
Shantel Krebs,Female,White,SD,1,SD-AL,Republican,Open,29.3,0,,,,,,-14,31.7,61.5,,650791,600287,Yes
Marty Olson,Male,White,TN,1,TN-1,Democrat,Challenger,100,1,,,21,,0,-28,19.7,76.7,0.052053511,159061,160842,No
Phil Roe,Male,White,TN,1,TN-1,Republican,Incumbent,73.7,1,,,77.1,,1,-28,19.7,76.7,0.052053511,357099,588015,Yes
Todd McKinley,Male,White,TN,1,TN-1,Republican,Challenger,16.7,0,,,,,,-28,19.7,76.7,0.052053511,54144,48947,No
James Brooks,Male,,TN,1,TN-1,Republican,Challenger,5.2,0,,,,,,-28,19.7,76.7,0.052053511,2500,2500,No
Mickie Lous Banyas,Female,,TN,1,TN-1,Republican,Challenger,4.4,0,,,,,,-28,19.7,76.7,0.052053511,8639,7351,No
Renee Hoyos,Female,Non-white,TN,2,TN-2,Democrat,Open,72.4,1,,,33.1,,0,-20,29.7,65.1,0.080213094,340706,322036,No
Joshua Williams,Male,White,TN,2,TN-2,Democrat,Open,23.1,0,,,,,,-20,29.7,65.1,0.080213094,119792,121121,No
Joseph Schenkenfelder,Male,,TN,2,TN-2,Democrat,Open,4.5,0,,,,,,-20,29.7,65.1,0.080213094,2500,2500,No
Ashley Nickloes,Female,White,TN,2,TN-2,Republican,Open,11,0,,,,,,-20,29.7,65.1,0.080213094,227968,227968,No
David Stansberry,Male,White,TN,2,TN-2,Republican,Open,0.7,0,,,,,,-20,29.7,65.1,0.080213094,2500,2500,No
Hank Hamblin,Male,White,TN,2,TN-2,Republican,Open,0.9,0,,,,,,-20,29.7,65.1,0.080213094,10945,13568,No
Jason Emert,Male,White,TN,2,TN-2,Republican,Open,2.3,0,,,,,,-20,29.7,65.1,0.080213094,458850,457905,No
Jimmy Matlock,Male,White,TN,2,TN-2,Republican,Open,36.1,0,,,,,,-20,29.7,65.1,0.080213094,791889,790934,Yes
Tim Burchett,Male,White,TN,2,TN-2,Republican,Open,48.2,1,,,65.9,,1,-20,29.7,65.1,0.080213094,1086763,919639,Yes
Vito Sagliano,Male,White,TN,2,TN-2,Republican,Open,0.8,0,,,,,,-20,29.7,65.1,0.080213094,12342,12010,Yes
Danielle Mitchell,Female,White,TN,3,TN-3,Democrat,Challenger,100,1,,,34.5,,0,-18,30.2,65.4,0.069252144,292286,271728,No
Harold Shevlin,Male,White,TN,3,TN-3,Republican,Challenger,2.4,0,,,,,,-18,30.2,65.4,0.069252144,2500,2500,No
Jeremy Massengale,Male,White,TN,3,TN-3,Republican,Challenger,12,0,,,,,,-18,30.2,65.4,0.069252144,2500,2500,No
Chuck Fleischmann,Male,White,TN,3,TN-3,Republican,Incumbent,79.4,1,,,63.7,,1,-18,30.2,65.4,0.069252144,1255233,554295,Yes
William Spurlock,Male,White,TN,3,TN-3,Republican,Challenger,6.3,0,,,,,,-18,30.2,65.4,0.069252144,2500,2500,No
Cristopher Hale,Male,White,TN,4,TN-4,Democrat,Challenger,34.7,0,,,,,,-20,27.4,68.6,0.055167201,47850,47048,No
Mariah Phillips,Female,White,TN,4,TN-4,Democrat,Challenger,47.5,1,,,33.6,,0,-20,27.4,68.6,0.055167201,569111,544917,No
Steven Reynolds,Male,White,TN,4,TN-4,Democrat,Challenger,17.8,0,,,,,,-20,27.4,68.6,0.055167201,46420,39447,No
Jack Maddux,Male,White,TN,4,TN-4,Republican,Challenger,30,0,,,,,,-20,27.4,68.6,0.055167201,24781,25882,No
Scott DesJarlais,Male,White,TN,4,TN-4,Republican,Incumbent,70,1,,,63.4,,1,-20,27.4,68.6,0.055167201,544417,263913,Yes
Jim Cooper,Male,White,TN,5,TN-5,Democrat,Incumbent,100,1,,,67.8,,1,7,56.5,38.2,0.170487761,521586,712807,Yes
Glen Dean,Male,White,TN,5,TN-5,Republican,Challenger,44.2,0,,,,,,7,56.5,38.2,0.170487761,2500,2500,No
Jody Ball,Male,White,TN,5,TN-5,Republican,Challenger,55.8,1,,,32.2,,0,7,56.5,38.2,0.170487761,2500,2500,No
Christopher Finley,Male,White,TN,6,TN-6,Democrat,Open,15.1,0,,,,,,-24,23.7,72.6,0.046702107,2500,2500,No
Dawn Barlow,Female,White,TN,6,TN-6,Democrat,Open,54.5,1,,,28.3,,0,-24,23.7,72.6,0.046702107,44570,43317,No
Merrilee Wineinger,Female,White,TN,6,TN-6,Democrat,Open,22.1,0,,,,,,-24,23.7,72.6,0.046702107,45681,45481,No
Peter Heffernan,Male,,TN,6,TN-6,Democrat,Open,8.4,0,,,,,,-24,23.7,72.6,0.046702107,29050,7837,No
Bob Corlew,Male,White,TN,6,TN-6,Republican,Open,31.2,0,,,,,,-24,23.7,72.6,0.046702107,1516944,1516944,Yes
Christopher Monday,Male,White,TN,6,TN-6,Republican,Open,2.8,0,,,,,,-24,23.7,72.6,0.046702107,2500,2500,No
Judd Matheny,Male,White,TN,6,TN-6,Republican,Open,15.8,0,,,,,,-24,23.7,72.6,0.046702107,275976,275976,Yes
Lavern Vivio,Female,White,TN,6,TN-6,Republican,Open,8.9,0,,,,,,-24,23.7,72.6,0.046702107,28214,28239,No
John Rose,Male,White,TN,6,TN-6,Republican,Open,41.3,1,,,69.5,,1,-24,23.7,72.6,0.046702107,2958616,2938878,No
Justin Kanew,Male,White,TN,7,TN-7,Democrat,Open,62,1,,,32.1,,0,-20,28.2,67.5,0.05631642,493386,488645,No
Matt Reel,Male,White,TN,7,TN-7,Democrat,Open,38,0,,,,,,-20,28.2,67.5,0.05631642,178450,174096,No
Mark Green,Male,White,TN,7,TN-7,Republican,Open,100,1,,,66.9,,1,-20,28.2,67.5,0.05631642,1746055,1675022,Yes
Erika Pearson,Female,Non-white,TN,8,TN-8,Democrat,Challenger,50.4,1,,,30.1,,0,-19,30.7,66.3,0.064043529,2500,2500,No
John Boatner,Male,White,TN,8,TN-8,Democrat,Challenger,49.6,0,,,,,,-19,30.7,66.3,0.064043529,43363,42047,No
Colleen Owens,Female,White,TN,8,TN-8,Republican,Challenger,4.3,0,,,,,,-19,30.7,66.3,0.064043529,13842,13841,No
George Flinn,Male,White,TN,8,TN-8,Republican,Challenger,39.7,0,,,,,,-19,30.7,66.3,0.064043529,3073119,3084723,No
David Kustoff,Male,White,TN,8,TN-8,Republican,Incumbent,56,1,,,67.7,,1,-19,30.7,66.3,0.064043529,1683153,1694445,Yes
Isaac Richmond,Male,Non-white,TN,9,TN-9,Democrat,Challenger,2.7,0,,,,,,28,77.5,19.8,0.203636776,2500,2500,No
Kasandra Smith,Female,Non-white,TN,9,TN-9,Democrat,Challenger,6.4,0,,,,,,28,77.5,19.8,0.203636776,8450,5924,No
Steve Cohen,Male,White,TN,9,TN-9,Democrat,Incumbent,91,1,,,80,,1,28,77.5,19.8,0.203636776,528509,528509,Yes
Charlotte Bergmann,Female,Non-white,TN,9,TN-9,Republican,Challenger,100,1,,,19.2,,0,28,77.5,19.8,0.203636776,74143,71915,No
Shirley J. McKellar,Female,Non-white,TX,1,TX-1,Democrat,Challenger,61.04,1,,,26.32,,0,-25,25.3,72.2,0.071141996,48199,36450,No
Brent Beal,Male,White,TX,1,TX-1,Democrat,Challenger,38.96,0,,,,,,-25,25.3,72.2,0.071141996,67983,66825,No
Roshin Rowjee,Male,Non-white,TX,1,TX-1,Republican,Challenger,2.7,0,,,,,,-25,25.3,72.2,0.071141996,2500,2500,No
Anthony Culler,Male,White,TX,1,TX-1,Republican,Challenger,8.97,0,,,,,,-25,25.3,72.2,0.071141996,2500,2500,No
Louie Gohmert,Male,White,TX,1,TX-1,Republican,Incumbent,88.33,1,,,72.26,,1,-25,25.3,72.2,0.071141996,817643,746658,Yes
H. P. Parvizian,Male,Non-white,TX,2,TX-2,Democrat,Open,7.91,0,,,,,,-11,43.1,52.4,0.16760841,98082,86738,No
Silky Malik,Female,Non-white,TX,2,TX-2,Democrat,Open,9.7,0,,,,,,-11,43.1,52.4,0.16760841,19431,19523,No
J. Darnell Jones,Male,Non-white,TX,2,TX-2,Democrat,Open,22.08,0,,,,,,-11,43.1,52.4,0.16760841,19035,13826,No
Todd Litton,Male,White,TX,2,TX-2,Democrat,Open,52.81,1,,,45.56,,0,-11,43.1,52.4,0.16760841,1515228,1515228,No
Ali A. Khorasani,Male,,TX,2,TX-2,Democrat,Open,7.5,0,,,,,,-11,43.1,52.4,0.16760841,12829,12221,No
David Balat,Male,White,TX,2,TX-2,Republican,Open,0.75,0,,,,,,-11,43.1,52.4,0.16760841,114531,114531,No
Jon Spiers,Male,White,TX,2,TX-2,Republican,Open,0.9,0,,,,,,-11,43.1,52.4,0.16760841,44737,41727,No
Jonny Havens,Male,White,TX,2,TX-2,Republican,Open,2.02,0,,,,,,-11,43.1,52.4,0.16760841,162155,162155,No
Justin L. Lurie,Male,White,TX,2,TX-2,Republican,Open,0.92,0,,,,,,-11,43.1,52.4,0.16760841,9854,9854,No
Kathaleen Wall,Female,White,TX,2,TX-2,Republican,Open,27.08,0,,,,,,-11,43.1,52.4,0.16760841,6206448,6206351,No
Kevin Roberts,Male,White,TX,2,TX-2,Republican,Open,33.03,Runoff,30.16,0,,,,-11,43.1,52.4,0.16760841,994914,994914,Yes
Malcolm Whittaker,Male,White,TX,2,TX-2,Republican,Open,0.7,0,,,,,,-11,43.1,52.4,0.16760841,11182,11162,No
Rick Walker,Male,White,TX,2,TX-2,Republican,Open,7.18,0,,,,,,-11,43.1,52.4,0.16760841,476245,475180,No
Dan Crenshaw,Male,White,TX,2,TX-2,Republican,Open,27.42,Runoff,69.84,1,52.84,,1,-11,43.1,52.4,0.16760841,1836984,1753735,No
Medrick Yhap,Male,Non-white,TX,3,TX-3,Democrat,Open,3.76,0,,,,,,-13,40.6,54.8,0.152964637,8050,6384,No
Adam P. Bell,Male,White,TX,3,TX-3,Democrat,Open,17.96,0,,,,,,-13,40.6,54.8,0.152964637,31193,35279,No
Lorie Burch,Female,White,TX,3,TX-3,Democrat,Open,49.61,Runoff,75.02,1,44.23,,0,-13,40.6,54.8,0.152964637,314148,313316,No
Sam Johnson,Male,White,TX,3,TX-3,Democrat,Open,28.68,Runoff,24.98,0,,,,-13,40.6,54.8,0.152964637,71120,68208,No
Alex Donkervoet,Male,White,TX,3,TX-3,Republican,Open,5.93,0,,,,,,-13,40.6,54.8,0.152964637,2500,2500,No
David Niederkorn,Male,White,TX,3,TX-3,Republican,Open,9.39,0,,,,,,-13,40.6,54.8,0.152964637,53845,45548,No
Van Taylor,Male,White,TX,3,TX-3,Republican,Open,84.68,1,,,54.24,,1,-13,40.6,54.8,0.152964637,3762294,3436052,Yes
Catherine Krantz,Female,White,TX,4,TX-4,Democrat,Challenger,68.62,1,,,23,,0,-28,21.8,75.4,0.054371238,26114,30784,No
Lander Bethel,Male,White,TX,4,TX-4,Democrat,Challenger,31.38,0,,,,,,-28,21.8,75.4,0.054371238,19225,18258,No
John Cooper,Male,White,TX,4,TX-4,Republican,Challenger,14.5,0,,,,,,-28,21.8,75.4,0.054371238,16271,16271,No
John Ratcliffe,Male,White,TX,4,TX-4,Republican,Incumbent,85.5,1,,,75.7,,1,-28,21.8,75.4,0.054371238,746977,489189,Yes
Dan Wood,Male,White,TX,5,TX-5,Democrat,Open,100,1,,,37.55,,0,-16,34.3,62.7,0.098449437,121925,107575,Yes
Bunni Pounds,Female,White,TX,5,TX-5,Republican,Open,21.95,Runoff,45.99,0,,,,-16,34.3,62.7,0.098449437,815341,815341,No
Charles Lingerfelt,Male,White,TX,5,TX-5,Republican,Open,1.75,0,,,,,,-16,34.3,62.7,0.098449437,2500,2500,No
Danny Campbell,Male,White,TX,5,TX-5,Republican,Open,3.02,0,,,,,,-16,34.3,62.7,0.098449437,2500,2500,No
David Williams,Male,White,TX,5,TX-5,Republican,Open,2.73,0,,,,,,-16,34.3,62.7,0.098449437,2500,2500,No
Jason Wright,Male,White,TX,5,TX-5,Republican,Open,11.42,0,,,,,,-16,34.3,62.7,0.098449437,131079,131079,Yes
Kenneth Sheets,Male,White,TX,5,TX-5,Republican,Open,11.99,0,,,,,,-16,34.3,62.7,0.098449437,195075,195075,Yes
Lance Gooden,Male,White,TX,5,TX-5,Republican,Open,29.97,Runoff,54.01,1,62.34,,1,-16,34.3,62.7,0.098449437,1036559,787626,Yes
Sam Deen,Male,White,TX,5,TX-5,Republican,Open,17.16,0,,,,,,-16,34.3,62.7,0.098449437,79963,79963,No
Ruby Faye Woolridge,Female,Non-white,TX,6,TX-6,Democrat,Open,36.95,Runoff,46.88,0,,,,-9,41.9,54.2,0.12063233,83676,59232,No
Jana Lynne Sanchez,Female,Non-white,TX,6,TX-6,Democrat,Open,36.9,Runoff,53.12,1,45.44,,0,-9,41.9,54.2,0.12063233,730504,695079,No
John W. Duncan,Male,White,TX,6,TX-6,Democrat,Open,13.52,0,,,,,,-9,41.9,54.2,0.12063233,34494,34494,No
Justin Snider,Male,White,TX,6,TX-6,Democrat,Open,6.85,0,,,,,,-9,41.9,54.2,0.12063233,12330,13144,No
Levii R. Shocklee,Male,White,TX,6,TX-6,Democrat,Open,5.78,0,,,,,,-9,41.9,54.2,0.12063233,8305,9235,No
Shawn Dandridge,Male,Non-white,TX,6,TX-6,Republican,Open,1.13,0,,,,,,-9,41.9,54.2,0.12063233,5126,4194,No
Deborah Gagliardi,Female,White,TX,6,TX-6,Republican,Open,3.65,0,,,,,,-9,41.9,54.2,0.12063233,2500,2500,No
"J.K. ""Jake"" Ellzey",Male,White,TX,6,TX-6,Republican,Open,21.76,Runoff,47.83,0,,,,-9,41.9,54.2,0.12063233,305639,302771,No
Ken Cope,Male,White,TX,6,TX-6,Republican,Open,7.7,0,,,,,,-9,41.9,54.2,0.12063233,26372,26372,No
Kevin Harrison,Male,White,TX,6,TX-6,Republican,Open,3.85,0,,,,,,-9,41.9,54.2,0.12063233,10030,5475,No
Mark Mitchell,Male,White,TX,6,TX-6,Republican,Open,4.68,0,,,,,,-9,41.9,54.2,0.12063233,10030,5475,No
Ron Wright,Male,White,TX,6,TX-6,Republican,Open,45.15,Runoff,52.17,1,53.1,,1,-9,41.9,54.2,0.12063233,688108,674228,Yes
Shannon Dubberly,Male,White,TX,6,TX-6,Republican,Open,6.28,0,,,,,,-9,41.9,54.2,0.12063233,114027,114027,No
Thomas Dillingham,Male,White,TX,6,TX-6,Republican,Open,1.18,0,,,,,,-9,41.9,54.2,0.12063233,2500,2500,No
Troy Ratterree,Male,White,TX,6,TX-6,Republican,Open,4.04,0,,,,,,-9,41.9,54.2,0.12063233,49031,49031,No
Mel Hassell,Male,,TX,6,TX-6,Republican,Open,0.58,0,,,,,,-9,41.9,54.2,0.12063233,2500,2500,No
Joshua A. Butler,Male,Non-white,TX,7,TX-7,Democrat,Challenger,3.77,0,,,,,,-7,48.5,47.1,0.221413076,32889,32889,No
Ivan Sanchez,Male,Non-white,TX,7,TX-7,Democrat,Challenger,5.69,0,,,,,,-7,48.5,47.1,0.221413076,63935,63935,No
Alex Triantaphyllis,Male,White,TX,7,TX-7,Democrat,Challenger,15.73,0,,,,,,-7,48.5,47.1,0.221413076,1026830,1026734,No
James Cargas,Male,White,TX,7,TX-7,Democrat,Challenger,1.96,0,,,,,,-7,48.5,47.1,0.221413076,97423,103840,No
Jason Westin,Male,White,TX,7,TX-7,Democrat,Challenger,19.16,0,,,,,,-7,48.5,47.1,0.221413076,570927,570927,No
Laura Moser,Female,White,TX,7,TX-7,Democrat,Challenger,24.34,Runoff,32.88,0,,,,-7,48.5,47.1,0.221413076,1278972,1278895,No
Lizzie Pannill Fletcher,Female,White,TX,7,TX-7,Democrat,Challenger,29.36,Runoff,67.12,1,52.53,,1,-7,48.5,47.1,0.221413076,6157002,6070001,No
Edward Ziegler,Male,White,TX,7,TX-7,Republican,Challenger,23.89,0,,,,,,-7,48.5,47.1,0.221413076,37925,37259,Yes
